# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1418068790;126363.01;0.42;-131505.07
axle;60;1418068850;4914.70;0.27;24.01
axle;60;1418068910;-17.64;0.18;19.99
axle;60;1418068970;-8.45;0.17;18.46
axle;60;1418069030;18.26;0.20;13.17
axle;60;1418069090;-15.92;0.15;6.52
axle;60;1418069150;-1.24;0.13;6.60
axle;60;1418069210;-10.45;0.13;8.40
axle;60;1418069270;-7.69;0.17;5.11
axle;60;1418069330;-10.49;0.17;7.07
axle;60;1418069390;-10.65;0.13;7.12
axle;60;1418069450;12.78;0.15;6.83
axle;60;1418069510;-8.56;0.13;7.14
axle;60;1418069570;-9.50;0.13;6.65
axle;60;1418069630;-13.84;0.15;7.74
axle;60;1418069690;-13846.11;0.13;6.67
axle;60;1418069750;-3686.20;0.23;7.03
axle;60;1418069810;-17.57;0.12;6.84
axle;60;1418069870;7.67;0.15;5.86
axle;60;1418069930;-16.61;0.17;6.44
axle;60;1418069990;-9.02;0.17;6.57
axle;60;1418070050;0.38;0.13;5.99
axle;60;1418070110;4.67;0.13;6.23
axle;60;1418070170;0.15;0.12;5.65
axle;60;1418070230;-27.76;0.13;5.69
axle;60;1418070290;5.51;0.13;6.26
axle;60;1418070350;9843.55;0.12;8.11
axle;60;1418070410;-9851.30;0.13;5.77
axle;60;1418070470;-13.11;0.12;7.96
axle;60;1418070530;-3.49;0.17;6.90
axle;60;1418070590;-15.32;0.13;6.82
axle;60;1418070650;17401.22;0.25;148.02
axle;60;1418070710;6.13;0.17;34.21
axle;59;1418070770;-468.03;0.17;7.83
